mode,backend_mode,shape,m,median_max_rank_us,min_max_rank_us,max_max_rank_us,observation_1_us,observation_2_us,observation_3_us,requested_flush_l2_bytes,actual_flush_l2_bytes_min,num_samples,log,run_exit
ht,ht_grouped_contiguous,flash,8192,13033.184051513672,13023.087978363037,13044.591903686523,13044.591903686523,13023.087978363037,13033.184051513672,8000000000,8000000000,20,ht/logs/ht_flash_M8192.log,0
ht,ht_grouped_contiguous,pro,8,3161.520004272461,3134.768009185791,3172.640085220337,3172.640085220337,3161.520004272461,3134.768009185791,8000000000,8000000000,20,ht/logs/ht_pro_M8.log,0
ht,ht_grouped_contiguous,pro,16,3810.57608127594,3807.3281049728394,3826.703906059265,3810.57608127594,3807.3281049728394,3826.703906059265,8000000000,8000000000,20,ht/logs/ht_pro_M16.log,0
ht,ht_grouped_contiguous,pro,32,4131.472110748291,4129.35996055603,4162.719964981079,4162.719964981079,4131.472110748291,4129.35996055603,8000000000,8000000000,20,ht/logs/ht_pro_M32.log,0
ht,ht_grouped_contiguous,pro,64,3579.375982284546,3578.4319639205933,3585.487961769104,3578.4319639205933,3585.487961769104,3579.375982284546,8000000000,8000000000,20,ht/logs/ht_pro_M64.log,0
ht,ht_grouped_contiguous,pro,128,3594.4480895996094,3593.8080549240112,3732.7839136123657,3732.7839136123657,3594.4480895996094,3593.8080549240112,8000000000,8000000000,20,ht/logs/ht_pro_M128.log,0
ht,ht_grouped_contiguous,pro,256,3647.823929786682,3646.7360258102417,3720.5439805984497,3720.5439805984497,3646.7360258102417,3647.823929786682,8000000000,8000000000,20,ht/logs/ht_pro_M256.log,0
ht,ht_grouped_contiguous,pro,512,3719.8240756988525,3714.4640684127808,3730.8319807052612,3714.4640684127808,3730.8319807052612,3719.8240756988525,8000000000,8000000000,20,ht/logs/ht_pro_M512.log,0
ht,ht_grouped_contiguous,pro,1024,5985.664129257202,5975.152015686035,6000.703811645508,5985.664129257202,6000.703811645508,5975.152015686035,8000000000,8000000000,20,ht/logs/ht_pro_M1024.log,0
ht,ht_grouped_contiguous,pro,2048,9276.495933532715,9269.13595199585,9284.41572189331,9284.41572189331,9269.13595199585,9276.495933532715,8000000000,8000000000,20,ht/logs/ht_pro_M2048.log,0
ht,ht_grouped_contiguous,pro,4096,16940.943717956543,16936.511993408203,16959.487915039062,16940.943717956543,16959.487915039062,16936.511993408203,8000000000,8000000000,20,ht/logs/ht_pro_M4096.log,0
ht,ht_grouped_contiguous,pro,8192,31739.08805847168,31667.66357421875,31791.67938232422,31667.66357421875,31739.08805847168,31791.67938232422,8000000000,8000000000,20,ht/logs/ht_pro_M8192.log,0
ll,ll_grouped_masked,flash,8,320.16000151634216,319.13600862026215,322.84800708293915,322.84800708293915,320.16000151634216,319.13600862026215,8000000000,8000000000,20,ll/logs/ll_flash_M8.log,0
ll,ll_grouped_masked,flash,16,364.3199950456619,357.4080020189285,369.07200515270233,369.07200515270233,357.4080020189285,364.3199950456619,8000000000,8000000000,20,ll/logs/ll_flash_M16.log,0
ll,ll_grouped_masked,flash,32,367.0080006122589,363.66400122642517,444.3039894104004,444.3039894104004,367.0080006122589,363.66400122642517,8000000000,8000000000,20,ll/logs/ll_flash_M32.log,0
ll,ll_grouped_masked,flash,64,399.52000975608826,390.52799344062805,406.3680022954941,406.3680022954941,399.52000975608826,390.52799344062805,8000000000,8000000000,20,ll/logs/ll_flash_M64.log,0
ll,ll_grouped_masked,flash,128,457.91999995708466,441.44000113010406,464.0960097312927,464.0960097312927,457.91999995708466,441.44000113010406,8000000000,8000000000,20,ll/logs/ll_flash_M128.log,0
ll,ll_grouped_masked,pro,8,688.6239945888519,657.584011554718,696.0639953613281,696.0639953613281,688.6239945888519,657.584011554718,8000000000,8000000000,20,ll/logs/ll_pro_M8.log,0
ll,ll_grouped_masked,pro,16,775.9360074996948,774.4480073451996,783.4720015525818,783.4720015525818,774.4480073451996,775.9360074996948,8000000000,8000000000,20,ll/logs/ll_pro_M16.log,0
ll,ll_grouped_masked,pro,32,892.4640119075775,890.0800049304962,907.1680009365082,907.1680009365082,890.0800049304962,892.4640119075775,8000000000,8000000000,20,ll/logs/ll_pro_M32.log,0
ll,ll_grouped_masked,pro,64,947.0719993114471,946.9919800758362,948.0800032615662,947.0719993114471,948.0800032615662,946.9919800758362,8000000000,8000000000,20,ll/logs/ll_pro_M64.log,0
ll,ll_grouped_masked,pro,128,1131.8399906158447,1129.4560432434082,1139.0399932861328,1131.8399906158447,1129.4560432434082,1139.0399932861328,8000000000,8000000000,20,ll/logs/ll_pro_M128.log,0
